Word1	Word2	Similarity
declare	decreed	0.4501
decreed	decree	0.5178
decree	proclaim	0.1717
proclaim	annointe	N/A
annointe	annoint	N/A
annoint	anoint	0.6456
anoint	appoint	0.4583
appoint	reappoint	0.7027
reappoint	nominate	0.5126
nominate	reappointe	N/A
reappointe	elect	N/A
elect	reelect	0.6068
reelect	reelection	0.6140
reelection	election	0.6879
election	incumbent	0.5732
incumbent	unopposed	0.6024
unopposed	incumbant	0.4979
incumbant	unseat	0.4544
unseat	6392 5	N/A
6392 5	CFA	N/A
CFA	duct	0.0194
duct	vent	0.4281
vent	louver	0.3309
louver	louvere	N/A
louvere	louvre	N/A
louvre	casement	0.6163
casement	jamb	0.5859
jamb	mullion	0.5053
mullion	pilaster	0.5656
pilaster	lintel	0.5587
lintel	balustrade	0.5364
balustrade	baluster	0.6295
baluster	wainscotting	0.5701
wainscotting	wainscot	0.7396
wainscot	wainscote	N/A
wainscote	panel	N/A
panel	molding	0.1482
molding	valance	0.3273
valance	edging	0.1043
edging	bevel	0.0998
bevel	6392 6	N/A
6392 6	CFA	N/A
CFA	vaquita	0.0025
vaquita	specie	0.3737
specie	subspecie	N/A
subspecie	genus	N/A
genus	genera	0.6362
genera	lineage	0.3665
lineage	placental	0.2210
placental	phyla	0.3818
phyla	phylum	0.6801
phylum	echinoderm	0.5217
echinoderm	protozoan	0.5460
protozoan	flatfish	0.4180
flatfish	fauna	0.2394
fauna	mammal	0.5131
mammal	vertebrate	0.5883
vertebrate	mammalian	0.7009
mammalian	arthropod	0.5125
arthropod	insectivore	0.5961
insectivore	insectivorous	0.5866
insectivorous	herbivorous	0.5585
herbivorous	6392 7	N/A
6392 7	CFA	N/A
CFA	deputize	-0.0187
deputize	understudy	0.4267
understudy	sub	0.0238
sub	substitute	0.1804
substitute	replace	0.2724
replace	replacement	0.7215
replacement	successor	0.5918
successor	figurehead	0.4793
figurehead	rein	0.1313
rein	reign	0.3313
reign	helm	0.3737
helm	directorship	0.4794
directorship	resign	0.3696
resign	resignation	0.7776
resignation	ouster	0.6386
ouster	oust	0.6502
oust	depose	0.6307
depose	unseat	0.5426
unseat	topple	0.6416
topple	overthrow	0.6891
overthrow	6392 8	N/A
6392 8	CFA	N/A
CFA	industriousness	0.0358
industriousness	tenacity	0.4983
tenacity	doggedness	0.7433
doggedness	fortitude	0.5753
fortitude	determination	0.6144
determination	perseverance	0.5604
perseverance	courage	0.6440
courage	bravery	0.7254
bravery	heroism	0.7997
heroism	valor	0.6934
valor	gallantry	0.7341
gallantry	valorous	0.6246
valorous	heroic	0.5847
heroic	courageous	0.6399
courageous	selfless	0.6195
selfless	selflessness	0.7417
selflessness	kindness	0.6386
kindness	compassion	0.7420
compassion	humility	0.6488
humility	humbleness	0.7605
humbleness	6392 10	N/A
6392 10	CFA	N/A
CFA	tinker	0.0131
tinker	tweak	0.6811
tweak	alter	0.5780
alter	modify	0.6656
modify	change	0.4672
change	adjust	0.5094
adjust	adapt	0.6933
adapt	readjust	0.5311
readjust	reassess	0.5729
reassess	rethink	0.7354
rethink	reexamine	0.7042
reexamine	reevaluate	0.7846
reevaluate	reappraise	0.5678
reappraise	revisit	0.5236
revisit	reconsider	0.5927
reconsider	reinstate	0.6231
reinstate	rescind	0.6587
rescind	revoke	0.7311
revoke	suspend	0.6074
suspend	defer	0.5913
defer	6392 11	N/A
6392 11	CFA	N/A
CFA	bow	-0.0387
bow	arrow	0.3951
arrow	dagger	0.3576
dagger	sword	0.5171
sword	rapier	0.5798
rapier	mace	0.3616
mace	broadsword	0.4017
broadsword	scabbard	0.4823
scabbard	scimitar	0.4817
scimitar	breastplate	0.4457
breastplate	halberd	0.4778
halberd	hilt	0.1466
hilt	spear	0.1781
spear	lance	0.4874
lance	harpoon	0.4055
harpoon	awl	0.3910
awl	fishhook	0.4987
fishhook	blowgun	0.4344
blowgun	blunderbuss	0.3701
blunderbuss	spearman	N/A
spearman	6392 12	N/A
6392 12	CFA	N/A
CFA	abaft	0.0254
abaft	whereat	0.7293
whereat	midmost	0.7656
midmost	aslant	0.7479
aslant	neath	0.6207
neath	ere	0.5302
ere	altho	0.6455
altho	noh	0.6246
noh	durante	0.6650
durante	withal	0.5520
withal	ursula	0.5371
ursula	marianne	0.7285
marianne	elinor	0.8097
elinor	elizabeth	0.7272
elizabeth	lydia	0.6743
lydia	lizzy	0.6605
lizzy	mrs	0.5846
mrs	catherine	0.6000
catherine	cohen	0.6678
cohen	armstrong	0.6927
armstrong	6392 13	N/A
6392 13	CFA	N/A
CFA	cadre	0.0893
cadre	maoist	0.3079
maoist	ultra	0.0990
ultra	miscreant	0.0826
miscreant	hoodlum	0.4649
hoodlum	thug	0.6978
thug	goon	0.6301
goon	gangster	0.5233
gangster	bandit	0.4811
bandit	robber	0.7241
robber	assailant	0.6735
assailant	attacker	0.6758
attacker	gunman	0.4599
gunman	militiaman	0.3699
militiaman	guerrilla	0.4291
guerrilla	militant	0.6209
militant	rebel	0.6052
rebel	insurgent	0.5962
insurgent	guerilla	0.4212
guerilla	militia	0.4041
militia	6392 14	N/A
6392 14	CFA	N/A
CFA	pigeon	-0.0534
pigeon	rabbit	0.5395
rabbit	pig	0.6164
pig	swine	0.7036
swine	cattle	0.5875
cattle	hog	0.6114
hog	chicken	0.4661
chicken	poultry	0.6559
poultry	livestock	0.6364
livestock	cow	0.5145
cow	sheep	0.6082
sheep	goat	0.6467
goat	animal	0.5284
animal	calf	0.3694
calf	lamb	0.4100
lamb	ewes	0.5348
ewes	ewe	0.7503
ewe	heifer	0.7480
heifer	piglet	0.5123
piglet	farrow	0.3316
farrow	6392 15	N/A
6392 15	CFA	N/A
CFA	bot	0.0056
bot	robot	0.5759
robot	robotic	0.8093
robotic	humanoid	0.5881
humanoid	cybernetic	0.5438
cybernetic	nanobot	0.5553
nanobot	droid	0.4722
droid	android	0.6341
android	monster	0.2711
monster	beastie	0.4989
beastie	undead	0.4504
undead	zombie	0.7524
zombie	vampire	0.5776
vampire	werewolf	0.7312
werewolf	vamp	0.5454
vamp	supernatural	0.3376
supernatural	minotaur	0.3812
minotaur	orc	0.5769
orc	goblin	0.6258
goblin	orcs	0.5701
orcs	6392 16	N/A
6392 16	CFA	N/A
CFA	theatrically	0.0277
theatrically	theatrical	0.5971
theatrical	production	0.3262
production	staging	0.2152
staging	repertory	0.2439
repertory	opera	0.6486
opera	operetta	0.6846
operetta	operatic	0.6469
operatic	orchestral	0.7041
orchestral	symphonic	0.8483
symphonic	orchestra	0.6473
orchestra	symphony	0.8172
symphony	chorale	0.7052
chorale	choral	0.8214
choral	choir	0.7723
choir	soloist	0.6153
soloist	soprano	0.7689
soprano	violinist	0.7144
violinist	cello	0.7534
cello	oboe	0.7940
oboe	6392 17	N/A
6392 17	CFA	N/A
CFA	buff	0.0461
buff	enthusiast	0.6154
enthusiast	fanatic	0.6711
fanatic	aficionado	0.6537
aficionado	lover	0.5427
lover	connoisseur	0.5127
connoisseur	gourmand	0.5924
gourmand	epicure	0.7244
epicure	epicurean	0.6034
epicurean	gourmet	0.6368
gourmet	diner	0.3945
diner	restaurateur	0.5689
restaurateur	restauranteur	0.7722
restauranteur	eatery	0.5522
eatery	restaurant	0.8688
restaurant	bistro	0.7058
bistro	cuisine	0.6403
cuisine	delicacy	0.4737
delicacy	dish	0.4199
dish	dessert	0.6117
dessert	6392 18	N/A
6392 18	CFA	N/A
CFA	ninetieth	0.0807
ninetieth	eightieth	0.4387
eightieth	seventieth	0.5569
seventieth	thirtieth	0.5061
thirtieth	tenth	0.6378
tenth	fourteenth	0.7056
fourteenth	thirteenth	0.8717
thirteenth	eighteenth	0.7366
eighteenth	fifteenth	0.7136
fifteenth	nineteenth	0.6928
nineteenth	eleventh	0.6937
eleventh	fifth	0.7394
fifth	eighth	0.9139
eighth	twelfth	0.6837
twelfth	seventh	0.6980
seventh	sixth	0.9793
sixth	ninth	0.9163
ninth	seventeenth	0.6003
seventeenth	fourth	0.5002
fourth	third	0.9002
third	6392 19	N/A
6392 19	CFA	N/A
CFA	pocketful	-0.0256
pocketful	haversack	0.3335
haversack	bedroll	0.5043
bedroll	blanket	0.4150
blanket	pillow	0.4940
pillow	mattress	0.6160
mattress	bed	0.5620
bed	comforter	0.4313
comforter	linen	0.3752
linen	tablecloth	0.5820
tablecloth	lampshade	0.5461
lampshade	rug	0.3991
rug	sofas	0.4210
sofas	settee	0.6208
settee	othman	N/A
othman	chaise	N/A
chaise	divan	0.5900
divan	headboard	0.4557
headboard	bedstead	0.5613
bedstead	washstand	0.6065
washstand	6392 20	N/A
6392 20	CFA	N/A
CFA	sigh	0.0727
sigh	murmur	0.4495
murmur	mutter	0.5292
mutter	whisper	0.5564
whisper	mumbling	0.4698
mumbling	mumble	0.6988
mumble	babble	0.5283
babble	jabber	0.6042
jabber	yack	0.3900
yack	yakking	0.4223
yakking	yammer	0.5427
yammer	yap	0.4736
yap	natter	0.3936
natter	prattle	0.5275
prattle	pontificate	0.3590
pontificate	whine	0.2296
whine	moan	0.7242
moan	bleat	0.6406
bleat	bitch	0.3028
bitch	bellyache	0.3377
bellyache	6392 21	N/A
6392 21	CFA	N/A
CFA	compromise	0.0363
compromise	jeopardize	0.3223
jeopardize	imperil	0.7644
imperil	threaten	0.7158
threaten	devastate	0.6414
devastate	cripple	0.7258
cripple	undermine	0.6286
undermine	hamper	0.6596
hamper	complicate	0.6935
complicate	impede	0.6124
impede	impair	0.6819
impair	hinder	0.6670
hinder	endanger	0.5909
endanger	affect	0.5725
affect	detrimental	0.5797
detrimental	damage	0.2427
damage	harm	0.5471
harm	hurt	0.4950
hurt	injure	0.5927
injure	disrupt	0.4586
disrupt	6392 22	N/A
6392 22	CFA	N/A
CFA	nocturne	0.0065
nocturne	fugue	0.5633
fugue	mazurkas	0.5365
mazurkas	polonaise	0.6782
polonaise	scherzo	0.6258
scherzo	toccata	0.7126
toccata	mazurka	0.7089
mazurka	gigue	0.7139
gigue	adagio	0.6944
adagio	allegro	0.7794
allegro	cadenza	0.7136
cadenza	pizzicato	0.7676
pizzicato	pizzicatos	0.7617
pizzicatos	glissandi	0.7675
glissandi	pizzicati	0.7453
pizzicati	tremolos	0.6897
tremolos	glissando	0.6800
glissando	arpeggio	0.7005
arpeggio	pianissimo	0.6582
pianissimo	legato	0.7377
legato	6392 23	N/A
6392 23	CFA	N/A
CFA	wordy	0.0457
wordy	snarkier	0.3909
snarkier	wonkier	0.5763
wonkier	pithier	0.4849
pithier	witty	0.3933
witty	slyer	0.4812
slyer	handsomer	0.5602
handsomer	sassy	0.2866
sassy	bitchier	0.4872
bitchier	naughtier	0.6106
naughtier	raunchy	0.5313
raunchy	funnier	0.3465
funnier	sillier	0.6896
sillier	weirder	0.6519
weirder	goofier	0.5776
goofier	lamer	0.6197
lamer	stupider	0.5974
stupider	cuter	0.5712
cuter	cleverer	0.5745
cleverer	sexier	0.5597
sexier	6392 24	N/A
6392 24	CFA	N/A
CFA	leed	0.1356
leed	fulham	0.1443
fulham	blackburn	0.7705
blackburn	bolton	0.7854
bolton	chelsea	0.7546
chelsea	liverpool	0.8415
liverpool	pompey	0.7321
pompey	gerrard	0.7325
gerrard	torre	0.4665
torre	defoe	0.3951
defoe	hargreave	N/A
hargreave	rooney	N/A
rooney	ronaldinho	0.7082
ronaldinho	barcelona	0.7481
barcelona	madrid	0.7679
madrid	milan	0.7485
milan	juventus	0.7463
juventus	mancini	0.7945
mancini	ranieri	0.7590
ranieri	raul	0.6916
raul	6392 25	N/A
6392 25	CFA	N/A
CFA	recapitalization	0.0739
recapitalization	refinance	0.4749
refinance	repayment	0.5950
repayment	repay	0.6808
repay	loan	0.4967
loan	lender	0.6187
lender	borrower	0.6854
borrower	mortgage	0.6376
mortgage	lend	0.2338
lend	borrow	0.5399
borrow	borrowing	0.7355
borrowing	debt	0.6144
debt	indebtedness	0.7256
indebtedness	liability	0.3394
liability	receivables	0.3191
receivables	receivable	0.7190
receivable	prepayment	0.5413
prepayment	amortize	0.4621
amortize	unamortized	0.4863
unamortized	amortization	0.5835
amortization	6392 26	N/A
6392 26	CFA	N/A
CFA	snuggle	0.0129
snuggle	cuddle	0.7787
cuddle	nuzzle	0.5669
nuzzle	caress	0.5426
caress	stroke	0.1532
stroke	rub	0.0633
rub	pat	0.3806
pat	slap	0.3976
slap	kiss	0.3453
kiss	smooch	0.7620
smooch	cavort	0.3533
cavort	loll	0.5919
loll	prance	0.4663
prance	lounge	0.1622
lounge	laze	0.3356
laze	frolic	0.5542
frolic	gambol	0.5704
gambol	amble	0.5497
amble	saunter	0.7460
saunter	stroll	0.7188
stroll	6392 27	N/A
6392 27	CFA	N/A
CFA	insincerity	0.1215
insincerity	sincerity	0.5994
sincerity	genuineness	0.6381
genuineness	veracity	0.6157
veracity	falsity	0.5684
falsity	falsehood	0.6285
falsehood	untruth	0.7557
untruth	truth	0.5265
truth	falseness	0.5040
falseness	hollowness	0.6283
hollowness	duplicity	0.5584
duplicity	mendacity	0.6654
mendacity	hypocrisy	0.6194
hypocrisy	shamelessness	0.6545
shamelessness	perfidy	0.6061
perfidy	venality	0.6061
venality	arrogance	0.5795
arrogance	stupidity	0.7270
stupidity	idiocy	0.7838
idiocy	ignorance	0.5824
ignorance	6392 28	N/A
6392 28	CFA	N/A
CFA	upbraid	0.0445
upbraid	excoriate	0.5363
excoriate	castigate	0.6601
castigate	lambast	0.6550
lambast	berate	0.6626
berate	chastise	0.6971
chastise	lambaste	0.6888
lambaste	scold	0.6017
scold	admonish	0.6646
admonish	chide	0.6021
chide	criticize	0.6309
criticize	denounce	0.6538
denounce	decry	0.7131
decry	deride	0.6435
deride	denigrate	0.5851
denigrate	belittle	0.7872
belittle	disparage	0.6790
disparage	demean	0.6283
demean	vilify	0.5318
vilify	demonize	0.7895
demonize	6392 29	N/A
6392 29	CFA	N/A
CFA	prefabrication	0.0413
prefabrication	prefab	0.5286
prefab	prefabricate	0.4097
prefabricate	modular	0.4415
modular	transportable	0.6139
transportable	relocatable	0.5688
relocatable	deployable	0.4772
deployable	deploy	0.5734
deploy	deployment	0.7079
deployment	installation	0.4939
installation	install	0.6701
install	instal	0.7258
instal	construct	0.4777
construct	build	0.7395
build	retrofit	0.3874
retrofit	outfit	0.0043
outfit	equip	0.1472
equip	configure	0.3588
configure	fit	0.2994
fit	refit	0.1644
refit	6392 30	N/A
6392 30	CFA	N/A
CFA	rebuild	0.0955
rebuild	repair	0.5525
repair	reconstruct	0.4954
reconstruct	restore	0.5183
restore	refurbish	0.4443
refurbish	refit	0.5283
refit	renovate	0.4515
renovate	remodel	0.7707
remodel	renovation	0.7516
renovation	refurnish	0.4961
refurnish	refurbishment	0.3951
refurbishment	upgrade	0.4629
upgrade	spruce	0.3525
spruce	repaint	0.4851
repaint	redo	0.5036
redo	redesign	0.4898
redesign	revamp	0.6504
revamp	overhaul	0.7653
overhaul	modernize	0.5006
modernize	modernization	0.6873
modernization	6392 32	N/A
6392 32	CFA	N/A
CFA	lambaste	0.0037
lambaste	chide	0.6583
chide	castigate	0.5970
castigate	criticize	0.6715
criticize	lambast	0.7275
lambast	excoriate	0.6259
excoriate	berate	0.5732
berate	chastise	0.6971
chastise	scold	0.7264
scold	admonish	0.6646
admonish	upbraid	0.4802
upbraid	reprove	0.4177
reprove	reproach	0.3858
reproach	rebuke	0.5682
rebuke	assail	0.3594
assail	denounce	0.5836
denounce	decry	0.7131
decry	condemn	0.5868
condemn	deplore	0.7224
deplore	bemoan	0.4798
bemoan	6392 33	N/A
6392 33	CFA	N/A
CFA	pretrial	0.0200
pretrial	sentence	0.3777
sentence	sentencing	0.6923
sentencing	arraignment	0.6555
arraignment	arraign	0.5331
arraign	indict	0.5001
indict	arrest	0.3677
arrest	charge	0.3310
charge	accuse	0.3190
accuse	convict	0.2060
convict	jail	0.4838
jail	detain	0.3235
detain	imprison	0.6466
imprison	incarcerate	0.6900
incarcerate	prison	0.4015
prison	parole	0.6360
parole	extradite	0.3662
extradite	deport	0.6524
deport	deportation	0.7356
deportation	extradition	0.6498
extradition	6392 34	N/A
6392 34	CFA	N/A
CFA	courtier	-0.0475
courtier	aristocratic	0.5647
aristocratic	nobility	0.6435
nobility	aristocrat	0.5443
aristocrat	noble	0.2887
noble	gentry	0.2971
gentry	nobleman	0.5029
nobleman	aristocracy	0.5157
aristocracy	prince	0.4371
prince	royal	0.6434
royal	monarchs	0.5482
monarchs	monarch	0.6938
monarch	monarchy	0.7108
monarchy	monarchical	0.6333
monarchical	monarchic	0.6733
monarchic	imperial	0.5457
imperial	feudal	0.5997
feudal	feudalistic	0.7268
feudalistic	feudalism	0.6384
feudalism	autocracy	0.6028
autocracy	6392 35	N/A
6392 35	CFA	N/A
CFA	petunias	-0.0534
petunias	nasturtium	0.6027
nasturtium	geranium	0.6085
geranium	hydrangea	0.6673
hydrangea	zinnias	0.7199
zinnias	zinnia	0.7724
zinnia	aster	0.5777
aster	phlox	0.6182
phlox	hollyhock	0.6647
hollyhock	honeysuckle	0.5020
honeysuckle	foxglove	0.5499
foxglove	delphinium	0.6839
delphinium	primrose	0.6090
primrose	snapdragon	0.4141
snapdragon	cyclaman	N/A
cyclaman	cyclamen	N/A
cyclamen	verbena	0.6023
verbena	forsythia	0.5991
forsythia	viburnum	0.6909
viburnum	perennial	0.2882
perennial	6392 36	N/A
6392 36	CFA	N/A
CFA	riddle	0.0056
riddle	cryptogram	0.4378
cryptogram	anagram	0.4290
anagram	palindrome	0.3837
palindrome	homonyms	0.4410
homonyms	homophone	0.4954
homophone	tilde	0.3407
tilde	umlauts	0.5014
umlauts	diacritic	N/A
diacritic	ideogram	N/A
ideogram	loanword	N/A
loanword	transliteration	N/A
transliteration	transliterate	0.6047
transliterate	etymology	0.3861
etymology	cognate	0.4615
cognate	declension	0.4195
declension	conjugation	0.4097
conjugation	plural	0.3131
plural	possessive	0.3161
possessive	grammatical	0.2499
grammatical	6392 37	N/A
6392 37	CFA	N/A
CFA	guarantee	0.0965
guarantee	secure	0.4405
secure	assure	0.4494
assure	ensure	0.7762
ensure	safeguard	0.6006
safeguard	protect	0.8329
protect	preserve	0.6139
preserve	maintain	0.6038
maintain	reestablish	0.5870
reestablish	strengthen	0.5780
strengthen	solidify	0.6820
solidify	enhance	0.5291
enhance	fortify	0.5228
fortify	reinforce	0.5761
reinforce	reaffirm	0.6026
reaffirm	bolster	0.3882
bolster	buttress	0.6708
buttress	undermine	0.5225
undermine	undercut	0.7723
undercut	weaken	0.5823
weaken	6392 38	N/A
6392 38	CFA	N/A
CFA	uninspired	-0.0144
uninspired	forgettable	0.6631
forgettable	insipid	0.6051
insipid	turgid	0.6484
turgid	unmemorable	0.5287
unmemorable	bland	0.6172
bland	unimaginative	0.6285
unimaginative	unoriginal	0.6485
unoriginal	unintereste	N/A
unintereste	bore	N/A
bore	unexcite	N/A
unexcite	uninspire	N/A
uninspire	unimpressive	N/A
unimpressive	lackluster	0.7332
lackluster	mediocre	0.6815
mediocre	middle	0.2121
middle	unexceptional	0.1858
unexceptional	unremarkable	0.7538
unremarkable	dull	0.5448
dull	dreary	0.6733
dreary	6392 40	N/A
6392 40	CFA	N/A
CFA	chairman	0.1112
chairman	chairperson	0.7174
chairperson	chairwoman	0.7757
chairwoman	chair	0.6271
chair	member	0.4992
member	convener	0.4207
convener	director	0.4765
director	executive	0.6964
executive	president	0.6182
president	chief	0.5507
chief	officer	0.6225
officer	deputy	0.5602
deputy	secretary	0.6077
secretary	undersecretary	0.6801
undersecretary	minister	0.4753
minister	minster	0.8309
minster	ministry	0.6350
ministry	directorate	0.5575
directorate	department	0.5655
department	commissioner	0.4175
commissioner	6392 41	N/A
6392 41	CFA	N/A
CFA	tenacity	-0.0049
tenacity	perseverance	0.7534
perseverance	dedication	0.6571
dedication	devotion	0.6796
devotion	selflessness	0.6008
selflessness	kindness	0.6386
kindness	generosity	0.7188
generosity	selfless	0.5513
selfless	compassion	0.5519
compassion	empathy	0.7474
empathy	humility	0.5591
humility	graciousness	0.6688
graciousness	thoughtfulness	0.5888
thoughtfulness	humbleness	0.4807
humbleness	courage	0.4853
courage	fortitude	0.7715
fortitude	resourcefulness	0.6318
resourcefulness	ingenuity	0.7156
ingenuity	bravery	0.4756
bravery	heroism	0.7997
heroism	6392 42	N/A
6392 42	CFA	N/A
CFA	warranteed	0.0595
warranteed	warrantie	N/A
warrantie	warranty	N/A
warranty	rustproofe	N/A
rustproofe	undercoat	N/A
undercoat	defroster	0.4015
defroster	defogger	0.5590
defogger	wiper	0.4693
wiper	headlight	0.4843
headlight	taillight	0.7777
taillight	muffler	0.5393
muffler	radiator	0.5908
radiator	carburetor	0.5974
carburetor	gasket	0.5362
gasket	valve	0.6282
valve	nozzle	0.6159
nozzle	solenoid	0.6037
solenoid	actuator	0.7053
actuator	bushing	0.5902
bushing	bush	0.1033
bush	6392 43	N/A
6392 43	CFA	N/A
CFA	wilt	-0.0079
wilt	shrivel	0.5025
shrivel	wither	0.7214
wither	sprout	0.5277
sprout	spring	0.2320
spring	blossom	0.3206
blossom	bloomed	0.6490
bloomed	bloom	0.6595
bloom	flower	0.5887
flower	forsythia	0.5486
forsythia	jonquil	0.5095
jonquil	honeysuckle	0.3982
honeysuckle	hollyhock	0.5020
hollyhock	foxglove	0.6613
foxglove	nasturtium	0.6210
nasturtium	delphinium	0.7092
delphinium	zinnias	0.6217
zinnias	aster	0.5511
aster	phlox	0.6182
phlox	primrose	0.5386
primrose	6392 44	N/A
6392 44	CFA	N/A
CFA	salver	0.0921
salver	tankard	0.5359
tankard	flagon	0.6476
flagon	goblet	0.6021
goblet	chalice	0.6320
chalice	decanter	0.4809
decanter	carafe	0.6508
carafe	bottle	0.6258
bottle	jug	0.6945
jug	jar	0.6613
jar	pail	0.5922
pail	dishpan	0.5976
dishpan	dishtowel	0.7253
dishtowel	dishcloth	0.7496
dishcloth	trivet	0.5843
trivet	cruet	0.5892
cruet	tureen	0.6377
tureen	demitasse	0.6023
demitasse	compote	0.6471
compote	ladyfinger	0.5507
ladyfinger	6392 45	N/A
6392 45	CFA	N/A
CFA	ablest	0.0369
ablest	handsome	0.2123
handsome	clever	0.3179
clever	clumsiest	0.4059
clumsiest	dumbest	0.5271
dumbest	silly	0.4652
silly	weird	0.6200
weird	stupid	0.5312
stupid	lame	0.5747
lame	crazy	0.3672
crazy	cool	0.4447
cool	strange	0.3164
strange	scary	0.5859
scary	oddest	0.3472
oddest	funniest	0.6169
funniest	nice	0.2885
nice	classy	0.5591
classy	neat	0.5122
neat	ugliest	0.2022
ugliest	nasty	0.4094
nasty	6392 46	N/A
6392 46	CFA	N/A
CFA	redistricte	N/A
redistricte	gerrymander	N/A
gerrymander	redistrict	0.5580
redistrict	redrawn	0.5750
redrawn	redrawe	N/A
redrawe	redraw	N/A
redraw	redrew	0.6514
redrew	reapportion	0.3645
reapportion	reapportionment	0.5405
reapportionment	district	0.3389
district	apportionment	0.2483
apportionment	apportion	0.6172
apportion	divvy	0.6118
divvy	divvye	N/A
divvye	divide	N/A
divide	split	0.5565
split	separate	0.4386
separate	segregate	0.4232
segregate	assign	0.3942
assign	allocate	0.4850
allocate	6392 47	N/A
6392 47	CFA	N/A
CFA	adolescent	0.0110
adolescent	adolescence	0.6990
adolescence	puberty	0.7271
puberty	adulthood	0.6837
adulthood	babyhood	0.5775
babyhood	pubescence	0.5488
pubescence	pubescent	0.5794
pubescent	pimply	0.5710
pimply	preteen	0.4713
preteen	teenage	0.6451
teenage	teen	0.6744
teen	teenager	0.6665
teenager	kid	0.6012
kid	child	0.4755
child	toddler	0.6701
toddler	preschooler	0.6685
preschooler	preschool	0.6125
preschool	kindergarten	0.8141
kindergarten	elementary	0.7191
elementary	kindergartener	0.5184
kindergartener	6392 48	N/A
6392 48	CFA	N/A
CFA	fungus	0.0419
fungus	insect	0.6786
insect	aphid	0.7361
aphid	beetle	0.6435
beetle	moth	0.7189
moth	wasp	0.6477
wasp	weevil	0.5712
weevil	mealybug	0.6433
mealybug	nematode	0.6226
nematode	thrip	0.5628
thrip	borer	0.4865
borer	pest	0.5420
pest	mite	0.5248
mite	caterpillar	0.3624
caterpillar	larvae	0.6147
larvae	larva	0.8230
larva	larval	0.7173
larval	pupa	0.5764
pupa	pupal	0.7101
pupal	tadpole	0.5164
tadpole	6392 49	N/A
6392 49	CFA	N/A
CFA	dissatisfaction	-0.0230
dissatisfaction	frustration	0.7205
frustration	discontent	0.6573
discontent	disenchantment	0.7493
disenchantment	disaffection	0.7386
disaffection	resentment	0.6850
resentment	unhappiness	0.6575
unhappiness	discontentment	0.7317
discontentment	disillusionment	0.6494
disillusionment	disillusion	0.7695
disillusion	ambivalence	0.4981
ambivalence	unease	0.6407
unease	uneasiness	0.8232
uneasiness	disquiet	0.6631
disquiet	angst	0.5459
angst	anxiety	0.7090
anxiety	anger	0.5721
anger	disgust	0.6864
disgust	outrage	0.6415
outrage	indignation	0.7889
indignation	6392 50	N/A
6392 50	CFA	N/A
CFA	unearth	0.0303
unearth	excavate	0.5333
excavate	burie	N/A
burie	pummel	N/A
pummel	clobber	0.6366
clobber	topple	0.4023
topple	outlast	0.4729
outlast	oust	0.3180
oust	trounce	0.3587
trounce	beat	0.6546
beat	thrash	0.3509
thrash	wallop	0.2659
wallop	stun	0.3738
stun	steamroll	0.4047
steamroll	drub	0.4532
drub	rout	0.5322
rout	crush	0.2660
